topology,mode,seed,tick,route_changes,phase
er,full,103,15,0,stage1
er,full,103,16,0,stage1
er,full,103,17,0,stage1
er,full,103,18,0,stage1
er,full,103,19,0,stage1
er,full,103,20,85,stage1
er,full,103,21,17,stage1
er,full,103,22,0,stage1
er,full,103,23,0,stage1
er,full,103,24,0,stage1
er,full,103,25,0,stage1
er,full,103,26,0,stage1
er,full,103,27,0,stage1
er,full,103,28,0,stage1
er,full,103,29,0,stage1
er,full,103,30,0,stage1
er,full,103,31,0,pre
er,full,103,32,0,pre
er,full,103,33,0,pre
er,full,103,34,0,pre
er,full,103,35,0,pre
er,full,103,36,0,pre
er,full,103,37,0,pre
er,full,103,38,0,pre
er,full,103,39,0,pre
er,full,103,40,0,stage2
er,full,103,41,0,stage2
er,full,103,42,0,stage2
er,full,103,43,0,stage2
er,full,103,44,0,stage2
er,full,103,45,0,stage2
er,full,103,46,19,stage2
er,full,103,47,0,stage2
er,full,103,48,0,stage2
er,full,103,49,0,stage2
er,full,103,50,0,stage2
er,full,103,51,0,stage2
er,full,103,52,0,stage2
er,full,103,53,0,stage2
er,full,103,54,0,stage2
er,full,103,55,0,stage2
er,full,103,56,0,recovery
er,full,103,57,0,recovery
er,full,103,58,0,recovery
er,full,103,59,0,recovery
er,full,103,60,0,recovery
er,full,103,61,0,recovery
er,full,103,62,0,recovery
er,full,103,63,0,recovery
er,full,103,64,0,recovery
er,full,103,65,0,recovery
er,full,103,66,0,recovery
er,full,103,67,0,recovery
er,full,103,68,0,recovery
er,full,103,69,0,recovery
er,full,103,70,0,recovery
er,full,103,71,0,recovery
er,full,103,72,0,recovery
er,full,103,73,0,recovery
er,full,103,74,0,recovery
er,full,103,75,0,recovery
er,full,103,76,0,recovery
er,full,103,77,0,recovery
er,full,103,78,0,recovery
er,full,103,79,0,recovery
er,baseline,104,1,2904,pre
er,baseline,104,2,5104,pre
er,baseline,104,3,1232,pre
er,baseline,104,4,48,pre
er,baseline,104,5,0,pre
er,baseline,104,6,0,pre
er,baseline,104,7,0,pre
er,baseline,104,8,0,pre
er,baseline,104,9,0,pre
er,baseline,104,10,0,pre
er,baseline,104,11,0,pre
er,baseline,104,12,0,pre
er,baseline,104,13,0,pre
er,baseline,104,14,0,pre
er,baseline,104,15,0,stage1
er,baseline,104,16,0,stage1
er,baseline,104,17,0,stage1
er,baseline,104,18,4,stage1
er,baseline,104,19,49,stage1
er,baseline,104,20,0,stage1
er,baseline,104,21,0,stage1
er,baseline,104,22,0,stage1
er,baseline,104,23,0,stage1
er,baseline,104,24,0,stage1
er,baseline,104,25,0,stage1
er,baseline,104,26,0,stage1
er,baseline,104,27,0,stage1
er,baseline,104,28,0,stage1
er,baseline,104,29,0,stage1
er,baseline,104,30,0,stage1
er,baseline,104,31,49,pre
er,baseline,104,32,0,pre
er,baseline,104,33,0,pre
er,baseline,104,34,0,pre
er,baseline,104,35,0,pre
er,baseline,104,36,0,pre
er,baseline,104,37,0,pre
er,baseline,104,38,0,pre
er,baseline,104,39,0,pre
er,baseline,104,40,0,stage2
er,baseline,104,41,0,stage2
er,baseline,104,42,0,stage2
er,baseline,104,43,0,stage2
er,baseline,104,44,70,stage2
er,baseline,104,45,0,stage2
er,baseline,104,46,0,stage2
er,baseline,104,47,0,stage2
er,baseline,104,48,0,stage2
er,baseline,104,49,0,stage2
er,baseline,104,50,0,stage2
er,baseline,104,51,0,stage2
er,baseline,104,52,0,stage2
er,baseline,104,53,0,stage2
er,baseline,104,54,0,stage2
er,baseline,104,55,0,stage2
er,baseline,104,56,70,recovery
er,baseline,104,57,0,recovery
er,baseline,104,58,0,recovery
er,baseline,104,59,0,recovery
er,baseline,104,60,0,recovery
er,baseline,104,61,0,recovery
er,baseline,104,62,0,recovery
er,baseline,104,63,0,recovery
er,baseline,104,64,0,recovery
er,baseline,104,65,0,recovery
er,baseline,104,66,0,recovery
er,baseline,104,67,0,recovery
er,baseline,104,68,0,recovery
er,baseline,104,69,0,recovery
er,baseline,104,70,0,recovery
er,baseline,104,71,0,recovery
